Bella;7;8;10;10;12;11;14;23;45;33;44;30;
Sequoia;0;5;0;0;0;0;5;0;0;0;6;6;
Belle;5;0;0;0;0;0;0;5;6;0;5;0;
Riley;14;21;24;28;27;23;29;34;37;38;28;26;
Madalyn;5;7;0;0;0;0;6;9;7;0;0;0;
Hillary;0;0;0;0;9;0;6;0;0;0;0;0;
Eden;16;15;19;16;24;14;33;25;38;25;21;22;
Alyvia;0;0;0;0;0;0;5;0;8;0;11;0;
Tyra;17;10;9;8;5;0;0;0;0;0;0;0;
Tiara;0;0;0;5;6;0;0;0;0;0;5;0;
Ashleen;0;0;0;12;0;0;6;5;8;6;7;5;
Heather;24;18;16;22;15;14;8;10;5;0;5;8;
Adrienne;12;0;0;6;0;0;5;0;0;7;0;5;
Liberty;6;0;0;0;0;0;5;0;0;7;6;0;
Madilyn;0;0;0;8;0;0;6;0;8;0;9;0;
Naya;0;0;0;0;0;0;0;6;0;0;5;0;
Madilynn;0;0;0;0;0;0;0;0;5;0;5;0;
Katelyn;48;38;40;44;47;46;41;38;40;42;21;29;
Paulina;0;0;0;0;0;5;0;0;0;5;0;0;
Calista;0;5;0;0;0;5;0;0;0;9;0;0;
Pauline;0;0;0;0;5;0;0;0;0;0;0;0;
Amy;80;56;62;70;47;41;34;43;41;31;35;19;
Elsie;0;0;0;0;6;0;0;0;7;0;5;10;
Maddison;11;12;10;9;8;10;18;24;19;24;25;13;
Lili;0;0;0;0;0;0;0;7;0;0;0;0;
Simrin;0;5;0;0;0;0;0;0;0;0;0;0;
Brittney;10;0;0;0;0;0;0;0;0;0;0;0;
Lila;0;0;0;5;0;8;13;16;18;19;21;15;
Tanvi;0;0;0;0;0;5;0;0;0;0;0;0;
Lily;26;43;46;64;77;83;118;122;152;128;129;121;
Genevieve;12;14;14;6;10;15;5;10;5;10;15;9;
Mylee;0;0;0;0;0;0;0;5;0;0;0;6;
Priscilla;0;6;0;0;5;0;0;0;0;0;0;5;
Miah;0;5;0;0;0;5;0;0;0;0;6;0;
Lilah;0;0;0;0;0;5;8;5;12;13;13;12;
Jennifer;70;58;50;38;35;30;27;21;20;20;17;19;
Hayden;0;0;0;0;7;6;14;34;24;10;20;10;
Kareena;0;9;0;0;0;0;0;0;0;0;0;0;
Allison;30;44;25;22;14;29;29;25;20;16;19;18;
Averie;0;0;0;0;0;0;0;0;0;5;5;11;
Tanveer;0;0;5;0;0;0;0;0;0;5;0;0;
Peyton;6;11;11;17;17;23;31;60;67;67;53;42;
Amaya;0;0;5;0;0;7;10;13;10;0;11;16;
Cristina;0;8;0;0;0;0;0;0;0;0;0;0;
Nikki;5;8;0;0;0;0;0;7;10;0;0;0;
Darby;0;0;0;0;0;5;0;0;0;0;0;0;
Parker;0;0;0;0;6;0;7;10;10;10;7;10;
Scarlett;0;0;0;7;17;16;25;21;39;46;48;49;
Zoe;63;64;75;54;49;51;45;57;71;83;84;76;
Angela;47;33;41;27;38;28;29;35;23;20;25;30;
Alora;0;0;0;0;0;0;0;0;0;5;0;0;
Katherine;57;56;38;48;36;41;36;42;29;28;27;50;
Colette;5;0;0;0;0;0;0;0;0;0;0;0;
Keziah;0;0;0;7;0;0;6;6;0;0;6;0;
Lan;0;0;0;0;5;0;0;0;0;0;0;0;
Jacey;0;0;0;0;0;0;0;7;0;0;0;0;
Katy;0;0;0;5;0;0;0;0;0;5;0;0;
Tenley;0;0;0;0;0;0;0;0;0;8;7;9;
Crystal;19;17;14;5;6;10;13;10;12;10;0;8;
Maeve;9;0;9;6;6;8;0;5;10;8;9;9;
Riya;10;6;7;13;19;14;12;16;18;13;11;13;
Priya;19;13;20;19;19;25;16;14;14;11;13;6;
Courtney;35;28;29;20;16;11;13;16;9;6;0;0;
Shaylyn;5;0;0;0;0;0;0;0;0;0;0;0;
Gina;6;6;11;0;5;5;0;0;0;0;5;5;
Denise;6;5;10;0;0;8;0;0;0;0;0;0;
Darya;0;0;0;0;0;0;0;5;0;0;0;0;
Reese;6;0;17;15;10;24;25;21;29;14;21;18;
Lindsay;23;17;14;12;14;19;15;9;9;8;5;5;
Anna;91;77;80;99;82;84;79;82;78;81;78;74;
Joy;0;8;9;9;8;0;10;10;8;0;6;12;
Hazel;0;0;7;9;14;10;19;25;17;29;29;37;
Anne;0;13;12;0;8;9;6;6;0;5;12;8;
Logan;10;9;10;0;0;6;0;0;9;0;8;0;
Juniper;0;0;0;0;0;0;0;0;5;0;0;6;
Karis;0;0;0;5;6;5;5;10;9;9;8;9;
Harjot;0;0;0;8;0;0;5;0;0;0;0;0;
Anaya;0;0;0;0;5;0;7;6;6;14;9;13;
Felicity;8;0;0;0;0;5;5;8;5;8;5;0;
Siena;0;0;5;0;6;9;10;15;9;13;7;8;
Candice;0;0;0;0;0;0;0;0;0;0;5;0;
Everly;0;0;0;0;0;0;0;0;0;0;0;8;
Nevaeh;0;0;5;14;31;33;47;56;68;58;48;42;
Wren;0;0;0;0;0;0;0;0;0;6;0;0;
Lynnea;0;0;0;0;0;5;0;0;0;0;0;0;
Sylvie;0;0;0;0;0;0;6;9;7;5;9;5;
Edith;0;0;0;0;0;0;0;0;0;0;0;6;
Sylvia;10;7;0;0;6;13;7;0;7;8;9;5;
Jaida;8;13;13;6;16;12;12;7;10;12;6;6;
Robyn;18;13;12;5;12;7;6;13;10;0;0;0;
Shaelynn;0;0;0;6;0;0;0;0;0;0;0;0;
Alycia;5;0;7;0;0;0;0;0;0;0;0;0;
Leona;0;0;0;0;0;0;0;7;0;0;5;5;
Charleigh;0;0;0;0;0;0;0;0;0;0;7;0;
Gracie;18;16;26;14;32;22;20;16;28;16;18;13;
Erica;18;22;21;22;20;20;16;12;19;14;13;14;
Gurneet;5;8;0;5;8;9;7;13;0;0;5;0;
Ruth;0;10;6;0;8;8;10;6;0;9;5;7;
Rhea;9;14;10;10;15;8;21;11;9;6;15;8;
Shay;0;0;0;0;0;0;0;0;5;0;0;0;
Cecilia;8;6;6;0;5;5;5;10;8;0;8;14;
Megan;140;135;131;115;97;72;62;60;53;41;30;26;
Alexandra;106;60;88;71;66;56;54;52;50;50;50;48;
Jenelle;6;0;5;0;0;0;0;0;0;0;5;0;
Diana;14;10;6;6;7;9;9;7;10;8;7;12;
Mia;38;38;30;39;56;53;67;84;78;80;95;75;
Isobel;7;5;0;5;0;7;10;7;12;10;12;7;
Skyler;0;6;0;0;0;6;0;6;0;8;0;13;
Nimrat;0;0;0;0;0;0;0;0;6;0;5;5;
Ameera;0;0;0;0;0;0;5;0;0;0;8;6;
Rochelle;5;0;0;0;0;0;0;0;0;0;0;0;
Juliet;0;5;0;6;0;0;0;9;12;16;10;9;
Julianna;13;17;13;19;14;14;11;15;12;13;14;11;
Alena;0;0;0;5;0;0;5;0;0;5;7;0;
Julianne;12;8;5;5;0;0;9;7;5;5;0;0;
Valentina;0;0;0;0;0;6;6;12;15;10;17;15;
