Luca;16;27;25;25;30;25;35;34;39;35;56;41;
Braydon;14;12;12;7;9;6;11;15;6;7;7;0;
Rylie;0;0;6;0;0;0;0;0;0;0;0;0;
Ricardo;0;0;5;0;0;0;0;0;0;0;0;0;
Tanvir;6;0;5;0;0;0;0;0;0;0;0;0;
Zayden;0;0;0;0;0;0;0;0;8;5;7;7;
Dominik;0;8;6;9;9;9;15;7;7;6;13;12;
Aarush;0;0;0;0;0;0;0;0;5;0;0;0;
Sahil;19;21;20;21;20;18;16;14;12;11;7;10;
Cade;13;10;11;6;8;0;9;12;6;0;7;6;
Karson;5;0;0;7;5;5;5;6;0;15;5;8;
Orion;0;0;0;0;5;0;6;7;6;9;10;11;
Yusuf;0;0;0;5;0;5;0;0;7;11;6;7;
Syed;0;0;0;0;0;0;6;5;0;0;6;0;
Amrit;10;9;8;6;0;6;5;0;6;0;0;0;
Troy;21;13;14;16;21;12;19;11;12;9;19;17;
Minh;5;0;0;0;0;0;0;0;0;0;0;0;
Isaiah;35;52;47;49;48;38;48;55;40;45;53;54;
Darien;11;0;5;0;0;0;0;0;0;7;0;0;
Farhan;0;0;0;0;0;0;0;0;0;0;0;5;
Jaxton;0;0;0;0;0;0;0;0;5;0;0;0;
Matias;7;6;7;5;6;6;11;7;15;15;10;5;
Nikola;0;9;0;8;0;0;0;0;0;0;0;0;
Victor;42;37;24;22;23;16;20;30;18;15;15;15;
Tyrone;12;0;0;5;7;0;0;0;0;7;0;0;
Carl;8;7;0;7;6;0;0;0;0;5;6;5;
Kole;6;10;6;6;7;8;5;9;7;6;0;6;
Ari;0;0;0;0;0;5;0;5;12;9;13;10;
Korbin;0;0;0;0;0;0;5;0;0;0;0;0;
Kiefer;0;6;0;0;0;5;0;0;0;0;0;0;
Carsen;0;0;5;0;0;0;6;0;0;0;0;0;
Gauge;0;0;0;0;0;0;0;0;8;0;0;0;
Cayden;7;5;12;11;9;16;26;20;19;18;24;23;
Erik;27;32;27;13;16;21;21;28;21;24;20;15;
Jeffery;9;5;0;6;0;8;0;0;0;0;5;0;
