Shane;19;22;20;10;13;17;21;13;17;7;16;9;0;
Peyton;0;5;7;8;8;11;22;22;16;13;10;10;10.407425195;
Deven;0;0;0;5;0;0;6;0;0;5;0;0;3.55659399644;
Kai;36;50;56;64;71;75;58;84;78;96;74;65;118.333610319;
Gus;0;0;0;0;0;0;0;0;0;0;5;0;5.0676435351;
Skylar;7;7;7;12;6;6;0;6;0;5;14;0;8.2777365845;
Maxwell;47;44;32;52;35;43;36;33;41;36;42;47;46.1723510739;
Zion;0;5;0;0;0;0;0;6;0;0;0;6;0;
Kellan;0;0;0;0;0;0;0;0;8;0;8;8;15.4832046408;
Mohamed;9;8;0;6;0;0;5;6;0;0;7;0;0;
Jace;9;0;8;11;15;18;10;18;20;22;34;47;74.266619334;
Milan;5;0;8;6;8;0;5;7;7;0;6;10;12.6159159124;
Charlie;6;8;5;22;24;19;32;38;28;42;39;29;79.0507446825;
Jaylen;0;0;0;0;0;0;0;5;0;0;0;0;0;
Reed;0;7;0;0;0;0;0;7;9;11;5;7;8.26652660362;
Kegan;0;0;0;0;0;0;7;0;0;0;0;0;0;
Jai;6;0;0;6;0;0;5;9;10;0;8;8;3.62999343324;
William;159;167;146;147;159;151;166;153;164;176;154;133;136.651358325;
Warren;6;6;0;10;0;7;7;6;9;0;8;6;3.67292344203;
Matthew;320;298;271;259;241;225;206;198;203;162;157;139;0;
Jack;91;95;111;122;143;134;173;158;148;137;166;163;233.922769146;
Kyler;0;9;12;6;11;7;9;11;22;6;11;12;14.9173323153;
Brendon;11;6;5;5;0;0;0;0;0;0;0;0;0;
Mathias;0;7;0;9;17;8;7;7;8;6;9;0;16.648703695;
Dustin;22;21;13;5;18;16;9;15;11;12;8;7;0;
Lukas;23;21;16;28;46;46;67;65;41;49;49;43;72.7368026964;
Ross;5;7;0;0;6;0;0;5;0;0;6;0;0;
Walter;0;0;8;0;0;0;6;0;5;9;10;0;9.53463396758;
Sartaj;0;5;0;5;0;0;0;0;6;0;8;0;4.39416619237;
Dax;0;0;0;0;0;0;6;7;8;6;6;8;6.35722313297;
Gurkirat;0;6;0;0;0;5;0;0;0;5;0;0;0;
Damion;0;5;0;0;0;0;0;0;0;0;0;0;0;
Will;0;5;0;6;8;10;11;7;10;0;0;7;5.54291340694;
Ty;24;43;47;50;53;39;28;25;34;22;17;20;19.4033027415;
Manveer;0;0;5;0;0;7;0;0;0;0;5;0;6.37147804968;
Caiden;5;0;0;5;0;7;9;7;11;14;8;0;8.56663842151;
Nathanael;0;5;8;8;5;5;7;7;6;6;5;6;8.26657453048;
Gregory;19;14;11;13;14;7;10;11;7;9;10;14;5.41868597933;
Taiyo;0;0;0;0;0;0;0;0;5;0;0;0;0;
Malcolm;24;18;21;20;18;25;11;22;18;15;16;12;4.79559543573;
Xavier;14;19;30;27;27;29;37;37;43;42;37;30;53.196291341;
Darcy;10;6;0;0;0;0;0;0;0;0;0;0;0;
Harvir;0;5;7;0;5;6;7;6;0;0;0;0;0;
Gurjot;10;11;8;0;0;11;8;5;0;7;0;0;0;
Cristiano;0;0;0;0;0;7;0;9;8;5;0;5;1.65839069484;
Travis;48;28;26;22;33;26;29;19;23;24;18;28;9.36395888702;
Finnley;0;0;0;0;0;5;0;0;14;11;11;0;15.4813241308;
Kristopher;6;5;7;0;0;0;0;5;0;0;5;0;0;
Malachi;8;9;0;8;12;14;14;9;8;8;10;12;15.0596801052;
Jaeden;5;6;0;0;0;0;5;5;5;0;5;0;0;
Roland;0;0;0;6;0;0;0;11;0;6;0;0;0.903281491595;
Reagan;0;0;5;0;0;0;0;5;0;0;0;0;0;
Denver;0;0;0;0;0;0;0;5;0;0;0;0;0;
Rafael;0;0;0;0;0;7;5;0;8;0;7;0;6.6280252835;
Timothy;40;45;33;32;27;28;26;36;22;22;26;20;0;
River;6;5;5;15;7;9;10;9;17;24;14;15;30.3400699883;
Edison;0;0;9;9;6;0;0;0;0;5;0;11;11.8283870112;
Allen;10;5;7;0;15;8;0;0;11;0;6;8;9.8773186727;
Braeden;25;25;30;21;23;19;20;13;17;12;13;9;0;
Euan;0;5;0;5;0;5;0;0;6;0;0;0;0;
Tiago;0;0;0;0;6;0;0;5;0;5;0;0;4.50289948447;
Grayden;0;0;0;0;5;5;0;0;6;0;0;0;5.58071481171;
Lachlan;8;9;14;10;7;9;19;16;17;20;14;22;19.4132114436;
Keanu;6;0;6;0;0;0;5;0;0;0;0;0;0;
